Time,Channel A,Channel B
(s),(mV),(V)

0.04621650,3.11288800,-0.00354015
0.04628793,5.11185000,0.00006104
0.04635937,-0.42725910,0.00112919
0.04643080,3.78429500,-0.00424207
0.04650223,1.89214700,0.00134281
0.04657366,3.11288800,0.00051881
0.04664509,1.66325900,-0.00054933
0.04671653,0.28992580,0.00042726
0.04678796,1.84637000,-0.00213630
0.04685939,3.47911000,0.00042726
0.04693082,1.61748100,-0.00054933
0.04700225,3.21970200,-0.00491348
0.04707369,3.75377700,0.00006104
0.04714512,1.92266600,-0.00204474
0.04721655,3.83007300,-0.00024415
0.04728798,5.69170200,-0.00241096
0.04735941,3.32651700,-0.00143437
0.04743085,2.99081400,-0.00054933
0.04750228,5.64592400,-0.00054933
0.04757371,2.38044400,-0.00045778
0.04764514,1.66325900,-0.00384533
0.04771657,5.31022000,-0.00204474
0.04778801,5.11185000,-0.00045778
0.04785944,2.73140600,0.00125126
0.04793087,2.99081400,-0.00054933
0.04800230,3.14340600,-0.00354015
0.04807373,2.80770300,0.00180059
0.04814517,5.23392400,-0.00271615
0.04821660,2.91451700,0.00036622
0.04828803,4.16577600,-0.00250252
0.04835946,3.06711000,-0.00311289
0.04843089,4.59303500,0.00125126
0.04850233,4.05896100,-0.00015259
0.04857376,1.99896200,-0.00137333
0.04864519,1.61748100,0.00149541
0.04871662,0.82399970,0.00097659
0.04878805,1.73955500,0.00036622
0.04885949,3.98266500,0.00067141
0.04893092,4.69985000,-0.00369274
0.04900235,4.51673900,-0.00183111
0.04907378,5.03555400,-0.00393689
0.04914521,3.67748000,0.00067141
0.04921665,4.88296100,-0.00015259
0.04928808,2.27362900,0.00036622
0.04935951,3.63170200,-0.00271615
0.04943094,3.83007300,-0.00091556
0.04950237,4.69985000,-0.00076296
0.04957381,4.36414700,-0.00009156
0.04964524,3.03659200,0.00097659
0.04971667,4.92873900,-0.00280770
0.04978810,5.00503500,0.00134281
0.04985953,4.36414700,0.00097659
0.04993097,4.80666500,0.00112919
0.05000240,5.34073900,0.00103763
0.05007383,4.28785000,-0.00234993
0.05014526,3.40281400,-0.00085452
0.05021669,6.56147900,-0.00167852
0.05028813,4.16577600,-0.00100711
0.05035956,4.13525800,-0.00363170
0.05043099,3.32651700,-0.00115970
0.05050242,0.86977740,0.00119022
0.05057385,4.16577600,0.00073244
0.05064529,4.16577600,0.00170904
0.05071672,3.55540600,-0.00363170
0.05078815,2.15155500,0.00051881
0.05085958,6.51570100,0.00000000
0.05093101,4.01318400,-0.00204474
0.05100245,3.98266500,-0.00024415
0.05107388,2.60933200,-0.00250252
0.05114531,2.04474000,-0.00497452
0.05121674,4.31836900,-0.00070193
0.05128817,4.66933200,-0.00415052
0.05135961,4.01318400,-0.00045778
0.05143104,4.88296100,-0.00158696
0.05150247,2.27362900,0.00149541
0.05157390,5.99688700,-0.00280770
0.05164533,6.59199800,0.00057985
0.05171677,4.05896100,-0.00228889
0.05178820,3.60118400,-0.00137333
0.05185963,6.02740500,0.00000000
0.05193106,6.71407200,0.00134281
0.05200249,5.56962800,0.00155644
0.05207393,3.75377700,-0.00399793
0.05214536,5.03555400,-0.00234993
0.05221679,3.75377700,-0.00100711
0.05228822,3.47911000,-0.00152593
0.05235965,4.21155400,-0.00039674
0.05243109,3.60118400,-0.00015259
0.05250252,6.59199800,-0.00137333
0.05257395,2.88399900,0.00097659
0.05264538,5.41703500,-0.00228889
0.05271681,5.38651700,-0.00085452
0.05278825,6.74459000,0.00057985
0.05285968,4.13525800,-0.00384533
